Ag Commodity Prices,,,,,,,,
scenario,region,subregion,sector,2010,2015,2020,2050,Units
BAU,USA,Alabama,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Alabama,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Alabama,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Alabama,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Alabama,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Alabama,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Alabama,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Arizona,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Arizona,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Arizona,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Arizona,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Arizona,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Arizona,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Arizona,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Arkansas,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Arkansas,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Arkansas,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Arkansas,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Arkansas,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Arkansas,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Arkansas,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,California,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,California,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,California,other,1,1,1,1,Index (2010 = 1)
BAU,USA,California,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,California,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,California,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,California,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Colorado,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Colorado,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Colorado,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Colorado,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Colorado,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Colorado,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Colorado,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Connecticut,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Connecticut,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Connecticut,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Connecticut,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Connecticut,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Connecticut,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Connecticut,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Delaware,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Delaware,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Delaware,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Delaware,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Delaware,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Delaware,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Delaware,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,District of Columbia,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,District of Columbia,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,District of Columbia,other,1,1,1,1,Index (2010 = 1)
BAU,USA,District of Columbia,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,District of Columbia,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,District of Columbia,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,District of Columbia,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Florida,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Florida,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Florida,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Florida,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Florida,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Florida,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Florida,vegfruit,1,1,1,1,Index (2010 = 1)
